Designator,Value,Footprint,LCSC,MfrPart,Populate,Function,Note
C1,100nF,C_0402_1005Metric,C1525,,yes,U1 VCCA,
C2,100nF,C_0402_1005Metric,C1525,,yes,U1 VCCB,
C3,100nF,C_0402_1005Metric,C1525,,yes,U2 VCCA,
C4,100nF,C_0402_1005Metric,C1525,,yes,U2 VCCB,
C5,100nF,C_0402_1005Metric,C1525,,yes,U3 VCCA,
C6,100nF,C_0402_1005Metric,C1525,,yes,U3 VCCB,
C7,100nF,C_0402_1005Metric,C1525,,yes,U4 VCC,
C8,100nF,C_0402_1005Metric,C1525,,yes,U5 VCC,
C9,100nF,C_0402_1005Metric,C1525,,yes,U6 VCC,
C10,100nF,C_0402_1005Metric,C1525,,yes,U7 VCC,
C11,100nF,C_0402_1005Metric,C1525,,yes,U8 VCCA,
C12,100nF,C_0402_1005Metric,C1525,,yes,U8 VCCB,
C13,100nF,C_0402_1005Metric,C1525,,yes,U9 VCCA,
C14,100nF,C_0402_1005Metric,C1525,,yes,U9 VCCB,
C15,100nF,C_0402_1005Metric,C1525,,yes,U10 VCCA,
C16,100nF,C_0402_1005Metric,C1525,,yes,U10 VCCB,
C17,100nF,C_0402_1005Metric,C1525,,yes,U11 VCCA,
C18,100nF,C_0402_1005Metric,C1525,,yes,U11 VCCB,
C19,100nF,C_0402_1005Metric,C1525,,yes,U12 input,
C20,1uF,C_0402_1005Metric,C52923,,yes,U12 output,
C21,100nF,C_0402_1005Metric,C1525,,yes,"DB1 +3V3 entry, before FB1",
C22,100nF,C_0402_1005Metric,C1525,,yes,"+3V3 bulk, high frequency",
C23,100nF,C_0402_1005Metric,C1525,,yes,"+2V5 bulk, high frequency",
C24,10uF,C_0805_2012Metric,C15850,,yes,"+3V3 bulk, after FB1. 10 uF 25 V X5R 0805 - kept small on purpose, see the inrush note",
C25,10uF,C_0805_2012Metric,C15850,,yes,"+2V5 bulk, U12 output",
C26,10uF,C_0805_2012Metric,C15850,,yes,"+3V3 bulk on the DB1 side of FB1, so the bead sees a capacitor on both sides",
D1,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS, on the connector side of the terminations, the series resistors and the buffers, with the shortest possible ground return."
D2,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS, on the connector side of the terminations, the series resistors and the buffers, with the shortest possible ground return."
D3,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS, on the connector side of the terminations, the series resistors and the buffers, with the shortest possible ground return."
D4,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS, on the connector side of the terminations, the series resistors and the buffers, with the shortest possible ground return."
D5,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS, on the connector side of the terminations, the series resistors and the buffers, with the shortest possible ground return."
D6,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS, on the connector side of the terminations, the series resistors and the buffers, with the shortest possible ground return."
D7,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS, on the connector side of the terminations, the series resistors and the buffers, with the shortest possible ground return."
D8,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS, on the connector side of the terminations, the series resistors and the buffers, with the shortest possible ground return."
D9,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS, on the connector side of the terminations, the series resistors and the buffers, with the shortest possible ground return."
D10,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS, on the connector side of the terminations, the series resistors and the buffers, with the shortest possible ground return."
D11,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS, on the connector side of the terminations, the series resistors and the buffers, with the shortest possible ground return."
D12,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS, on the connector side of the terminations, the series resistors and the buffers, with the shortest possible ground return."
D101,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10",PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS.
D102,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10",PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS.
D103,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10",PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS.
D104,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10",PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS.
D105,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10",PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS.
D106,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10",PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS.
D107,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10",PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS.
D108,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10",PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS.
D109,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10",PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS.
D110,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10",PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS.
D111,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10",PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS.
D112,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10",PLACE WITHIN 5 mm OF THE SlimSAS CONTACTS.
FB1,120R/2A,L_0603_1608Metric,C14709,BLM18PG121SN1D,yes,"Input filter on the 3.3 V the board takes from DB1 pins 19/20. 120 ohm at 100 MHz, 2 A, 50 mOhm, so 15 mV of drop at 300 mA. Keeps this board's switching currents out of the radio's 3.3 V rail, which has no bead, resistor, fuse or TVS of its own between the regulator and the header","JLCPCB Basic. The only Basic bead that combines >=1 A with <=150 mOhm; no Basic bead reaches 600 ohm at that current, and 120 ohm is ample for a rail filter."
FB2,120R/2A,L_0603_1608Metric,C14709,BLM18PG121SN1D,DNP,Input filter for the OPTIONAL Vlvds tap,NOT FITTED. Only fit together with SL_VLVDS and only with U12 removed.
J1,SlimSAS 8i 74P R/A,SlimSAS_SFF-8654_8i_74P_RightAngle,C5432262,Amphenol ICC U10A474240T,yes,"SlimSAS SFF-8654 8i, 74 position, right angle. 16 differential pairs plus 16 sideband contacts. Row A is driven by this board, row B is received; the cable crosses A(n) to B(n), which is what lets ONE design sit at both ends","Reflow the 74 SMD contacts, then solder the four 2.2 mm through-hole shell tails. Mating face nominally 0.20 mm behind the board edge - see the SLIMSAS comment block for the one dimension no document gave and check it before cutting the panel window. Insertion force 55.5 N max, 250 mating cycles min."
J2,DB1 2x10 socket,PinSocket_2x10_P2.54mm_Vertical,,JXTCONN PM2.54-2X10P-H85 (LCSC C42431860) or any 2.54 mm 2x10 vertical female socket,DNP,"Mates HL2 DB1. HAND SOLDERED, bottom side","NOT PLACED BY JLCPCB - hand soldered on the underside. DB1 is marked DNI in the HL2 BOM, so the male header on the radio may need soldering too. Pin 1 (FPGA 72) reaches the FPGA only through HL2 solder jumper J25 and is used here for a DC enable level only; if J25 is left open the AUXIO drive feature is simply unavailable and the board is unaffected."
J3,DB12 2x03 socket,PinSocket_2x03_P2.54mm_Vertical,,"2.54 mm 2x3P female header, VERTICAL (top entry). LCSC stocks no vertical 2x3 socket - buy a 2x4 and cut it down, or source outside LCSC",DNP,"Mates HL2 DB12. HAND SOLDERED, bottom side","NOT PLACED BY JLCPCB. NOTE THE ORDER: pin 5 = FPGA PIN_89 (auxiliary clock in) and pin 6 = FPGA PIN_88 (reverse clock in). rev A of PINMAP.md had these two transposed; check_netlist.py now asserts it. Also: HL2 R17, the optional 100 R LVDS termination between DB12 pins 5 and 6, MUST NOT BE POPULATED - it shorts the two nets together through 100 R."
