Designator,Value,Footprint,LCSC,MfrPart,Populate,Function,Note
C1,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I CLK P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C2,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I CLK N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C3,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D0 P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C4,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D0 N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C5,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D1 P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C6,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D1 N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C7,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D2 P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C8,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D2 N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C9,100nF,C_0402_1005Metric,C1525,,DNP,VBIAS bypass,NOT FITTED. Part of the AC-coupling option.
C10,33pF,C_0402_1005Metric,C1555,,DNP,Optional ringing damper on X_SLOWIN_A,NOT FITTED. Fit if the unterminated cable wire rings enough to double-clock the receiver.
C11,100nF,C_0402_1005Metric,C1525,,yes,U1 VCCB,
C12,100nF,C_0402_1005Metric,C1525,,yes,U1 VCCA,
C13,100nF,C_0402_1005Metric,C1525,,yes,U2 VCC,
C14,100nF,C_0402_1005Metric,C1525,,yes,U3 VCC,
C15,100nF,C_0402_1005Metric,C1525,,yes,U4 VCC,
C16,100nF,C_0402_1005Metric,C1525,,yes,U5 VCCA,
C17,100nF,C_0402_1005Metric,C1525,,yes,U5 VCCB,
C18,10uF,C_0805_2012Metric,C15525,,yes,+3V3 bulk,
C19,100nF,C_0402_1005Metric,C1525,,yes,+3V3 bulk HF,
C20,1uF,C_0402_1005Metric,C52923,,yes,U6 output,
C21,100nF,C_0402_1005Metric,C1525,,yes,U6 input,
C22,100nF,C_0402_1005Metric,C1525,,yes,DB1 +3V3 entry,
C23,10uF,C_0805_2012Metric,C15525,,yes,U7 input bulk (option),
C24,10uF,C_0805_2012Metric,C15525,,yes,U7 output bulk (option),
D1,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D2,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D3,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D4,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D5,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D6,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D7,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D8,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
J1,DB1 2x10 stack-through,PinSocket_2x10_P2.54mm_Vertical,C5361769,"2.54mm 2x10P stack-through (long-tail) female header, H>=8.5mm",yes,"Mates HL2 DB1. Long tails pass DB1 pins 7,8,10,12,13,14,16,18,19,20 up to a stacked companion board","Bottom side. CLIP the tails of positions 1-6, 9, 11, 15, 17 (used by the link) before stacking anything above."
J2,DB12 2x03 socket,PinSocket_2x03_P2.54mm_Vertical,C124413,2.54mm 2x3P female header,yes,Mates HL2 DB12. NOTE pin 5 = FPGA PIN_89 (slow in) and pin 6 = FPGA PIN_88 (reverse clock); rev A had these two swapped,"Bottom side. DB12 is marked ""do not install"" in the HL2 BOM, so the user almost certainly has to solder the male header."
J3,OUT 1 (mini HDMI),HDMI_C_Mini_19P_Horizontal_Hybrid,C2682170,XKB Connection A71-05H4-111N1,yes,"OUT 1: board A drives clock A and forward lanes 0,1,2 plus the status UART on SCL","Hybrid mount: reflow the SMT contacts, then solder the four through-hole shell legs. Mating face is flush with the board edge."
J4,OUT 2 (mini HDMI),HDMI_C_Mini_19P_Horizontal_Hybrid,C2682170,XKB Connection A71-05H4-111N1,yes,"OUT 2: board A drives clock B and forward lanes 3,4,5. Slow out is not connected - the HL2 has no pin left","Hybrid mount: reflow the SMT contacts, then solder the four through-hole shell legs. Mating face is flush with the board edge."
J5,IN (mini HDMI),HDMI_C_Mini_19P_Horizontal_Hybrid,C2682170,XKB Connection A71-05H4-111N1,yes,"IN: board A receives the reverse clock and reverse lanes 0,1,2 plus the command channel on SCL","Hybrid mount: reflow the SMT contacts, then solder the four through-hole shell legs. Mating face is flush with the board edge."
J6,3V3 SRC,PinHeader_1x03_P2.54mm_Vertical,C2337,2.54mm 1x3P pin header,yes,"Board supply select: 1-2 = HL2 DB1 +3V3 (DEFAULT), 2-3 = the on-board LDO fed from the IN socket +5 V pin",
J7,RX MODE,PinHeader_1x03_P2.54mm_Vertical,C2337,2.54mm 1x3P pin header,yes,"IN receiver enable: 2-3 = auto, enabled only while a cable is in the IN socket (DEFAULT); 1-2 = force disabled; no shunt = always enabled",
J8,GND CLIP,PinHeader_1x02_P2.54mm_Vertical,C2337,2.54mm 1x2P pin header,yes,Ground clip / scope reference,
