Designator,Value,Footprint,LCSC,MfrPart,Populate,Function,Note
C101,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I CLK P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C102,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I CLK N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C103,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D0 P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C104,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D0 N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C105,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D1 P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C106,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D1 N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C107,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D2 P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C108,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D2 N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C109,100nF,C_0402_1005Metric,C1525,,DNP,VBIAS bypass,NOT FITTED. Part of the AC-coupling option.
C110,100nF,C_0402_1005Metric,C1525,,yes,U1 VCCB,
C111,100nF,C_0402_1005Metric,C1525,,yes,U1 VCCA,
C112,100nF,C_0402_1005Metric,C1525,,yes,U2 VCC,
C113,100nF,C_0402_1005Metric,C1525,,yes,U3 VCC,
C114,100nF,C_0402_1005Metric,C1525,,yes,U4 VCC,
C115,100nF,C_0402_1005Metric,C1525,,yes,U5 VCC,
C116,100nF,C_0402_1005Metric,C1525,,yes,U6 VCC,
C117,100nF,C_0402_1005Metric,C1525,,yes,U7 VCCA,
C118,100nF,C_0402_1005Metric,C1525,,yes,U7 VCCB,
C119,100nF,C_0402_1005Metric,C1525,,yes,U8 VCCA,
C120,100nF,C_0402_1005Metric,C1525,,yes,U8 VCCB,
C121,100nF,C_0402_1005Metric,C1525,,yes,U11 VCC (the inverter),
C122,10uF,C_0805_2012Metric,C15850,,yes,+3V3 bulk,
C123,100nF,C_0402_1005Metric,C1525,,yes,+3V3 bulk HF,
C124,1uF,C_0402_1005Metric,C52923,,yes,U9 output,
C125,100nF,C_0402_1005Metric,C1525,,yes,U9 input,
C126,100nF,C_0402_1005Metric,C1525,,yes,DB1 +3V3 entry,
C127,10uF,C_0805_2012Metric,C15850,,yes,U10 input bulk (option),
C128,10uF,C_0805_2012Metric,C15850,,yes,U10 output bulk (option),
C201,22pF,C_0402_1005Metric,C1555,,DNP,Optional ringing damper on LINK_SLOW_IN,NOT FITTED. 22 pF into 100 R is 2.2 ns. Fit if the unterminated cable wire rings enough to double-clock the receiver.
C202,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I CLK P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C203,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I CLK N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C204,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D0 P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C205,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D0 N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C206,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D1 P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C207,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D1 N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C208,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D2 P leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C209,100nF,C_0402_1005Metric,C1525,,DNP,"AC-coupling option, I D2 N leg",NOT FITTED. Fit only together with the VBIAS network and remove the parallel 0 R link. Needs DC-balanced data; the gateware does not guarantee that.
C210,100nF,C_0402_1005Metric,C1525,,DNP,VBIAS bypass,NOT FITTED. Part of the AC-coupling option.
C211,100nF,C_0402_1005Metric,C1525,,yes,U1 VCC,
C212,100nF,C_0402_1005Metric,C1525,,yes,U2 VCC,
C213,100nF,C_0402_1005Metric,C1525,,yes,U3 VCC,
C214,100nF,C_0402_1005Metric,C1525,,yes,U4 VCC,
C215,100nF,C_0402_1005Metric,C1525,,yes,U5 VCC,
C216,100nF,C_0402_1005Metric,C1525,,yes,U6 VCCA,
C217,100nF,C_0402_1005Metric,C1525,,yes,U6 VCCB,
C218,100nF,C_0402_1005Metric,C1525,,yes,U8 VCC (the inverter),
C219,10uF,C_0805_2012Metric,C15850,,yes,+3V3 bulk,
C220,100nF,C_0402_1005Metric,C1525,,yes,+3V3 bulk HF,
C221,10uF,C_0805_2012Metric,C15850,,yes,5 V input bulk,
C222,100nF,C_0402_1005Metric,C1525,,yes,5 V input HF,
C223,10uF,C_0805_2012Metric,C15850,,yes,U7 output bulk,
C224,100nF,C_0402_1005Metric,C1525,,yes,extra +3V3,
D101,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D102,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D103,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D104,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D105,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D106,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D107,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D108,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D109,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D201,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D202,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D203,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D204,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D205,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D206,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D207,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D208,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
D209,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,C138714,TPD4E05U06DQAR,yes,"Quad 0.5 pF ESD array, 5.5 V, USON-10","Place within 5 mm of the HDMI connector pins, on the connector side of everything else."
H201,M3,MountingHole_3.2mm_M3_Pad,,,yes,"M3 mounting hole, grounded",
H202,M3,MountingHole_3.2mm_M3_Pad,,,yes,"M3 mounting hole, grounded",
J101,DB1 2x10 stack-through,PinSocket_2x10_P2.54mm_Vertical,,"Samtec SSQ-120-01-G-D (or SSQ-120-01-T-D / Harwin M20), 2.54mm 2x10 female, ~10mm tails",DNP,"Mates HL2 DB1. HAND SOLDERED - LCSC stocks no long-tail 2x10 socket at all (all seven of their 2x10 female listings are ordinary ~3.2 mm pins), so this is not a JLCPCB assembly line item. The ordinary vertical socket LCSC C42431860 fits the same holes if you do not want to stack anything","NOT PLACED BY JLCPCB - hand soldered, bottom side. Clip the tails of positions 1,2,3,4,5,6,9,11,15,17 FLUSH before fitting: those ten carry the link and must not be passed up to a stacked board. The ten that remain are 7,8 (Vlvds), 10,12 (CW/PTT), 13,14 (GND), 16,18 (SCL1/SDA1) and 19,20 (+3V3)."
J102,DB12 2x03 socket,PinSocket_2x03_P2.54mm_Vertical,,"2.54mm 2x3P female header, VERTICAL (top entry)",DNP,"Mates HL2 DB12. HAND SOLDERED - LCSC has no vertical 2x3 female socket (their vertical female headers start at 2x4, and the 2x3 they do list, C99515, is side entry). Buy a 2x4 and cut it down, or source a 2x3 outside LCSC. NOTE pin 5 = FPGA PIN_89 (the ROLE strap read) and pin 6 = FPGA PIN_88 (the IN clock); rev A had these two swapped","NOT PLACED BY JLCPCB - hand soldered, bottom side. DB12 is marked ""do not install"" in the HL2 BOM, so the male header on the radio almost certainly has to be soldered too."
